Рабочее пространство	Workspace	Жұмыс кеңістігі
Seed: входящие переводы неполны; баланс и pass_through не описывают полный поток.	Seed: incoming transfers are incomplete; balance and pass_through do not describe the full flow.	Seed: кіріс аударымдары толық емес; баланс пен pass_through толық ағынды сипаттамайды.
Граница depth=4: дальнейшие переводы неизвестны. Это не доказательство конечного получателя.	Depth=4 boundary: further transfers are unknown. This is not proof of a terminal recipient.	depth=4 шекарасы: әрі қарайғы аударымдар белгісіз. Бұл түпкі алушының дәлелі емес.
Нет наблюдаемого входа: pass_through=0 — техническое значение, а не отсутствие транзита.	No observed incoming flow: pass_through=0 is a technical value, not evidence of no transit.	Бақыланған кіріс жоқ: pass_through=0 — техникалық мән, транзиттің жоқтығы емес.
Проверить через AI	Review with AI	AI арқылы тексеру
AI-расследование	Investigate with AI	AI арқылы зерттеу
Расследовать следующую цепочку	Investigate next chain	Келесі тізбекті зерттеу
Расследование запускается только по кнопке. Агент проверяет ограниченное окружение участника и ищет подтверждения и противоречия.	Investigations start only on a button click. The agent checks a bounded participant neighborhood for supporting and contradicting evidence.	Зерттеу тек түймені басқанда іске қосылады. Агент қатысушының шектеулі айналасын тексеріп, растайтын және қайшы деректерді іздейді.
Режим расследования	Investigation mode	Зерттеу режимі
Очередь цепочек	Chain queue	Тізбектер кезегі
Выбрать участника	Choose a participant	Қатысушыны таңдау
Проверено в этой сессии: {count} из {total}	Reviewed this session: {count} of {total}	Осы сессияда тексерілді: {total} ішінен {count}
Следующая цепочка: окружение участника {gid}	Next chain: participant {gid} and their neighborhood	Келесі тізбек: {gid} қатысушысы және оның айналасы
Очередь завершена. Можно выбрать участника для повторной проверки.	Queue complete. Select a participant to review again.	Кезек аяқталды. Қайта тексеру үшін қатысушыны таңдауға болады.
По кнопке профиль и ограниченное окружение клиента передаются во внешний API. Весь датасет, пароли, заметки и данные вашего аккаунта не передаются.	On click, the participant profile and a bounded neighborhood are sent to the external API. The full dataset, passwords, notes and your account data are not sent.	Түйме басылғанда қатысушы профилі мен шектеулі айналасы сыртқы API-ға жіберіледі. Толық деректер, құпиясөздер, жазбалар және аккаунт мәліметтері жіберілмейді.
Разрешаю отправить фрагмент этого кейса во внешний AI API	I allow this case fragment to be sent to the external AI API	Осы істің үзіндісін сыртқы AI API-ға жіберуге рұқсат беремін
Провайдер: {v0} · модель: {v1}	Provider: {v0} · model: {v1}	Провайдер: {v0} · модель: {v1}
Готовлю расследование	Preparing investigation	Зерттеу дайындалуда
Расследование завершено	Investigation complete	Зерттеу аяқталды
Доступны факты; AI-вывод не сформирован	Facts available; AI conclusion not generated	Фактілер қолжетімді; AI қорытындысы жасалмады
Не удалось подготовить данные для расследования	Could not prepare investigation data	Зерттеу деректерін дайындау мүмкін болмады
Проверьте исходные файлы и конфигурацию AI на сервере.	Check the source files and server AI settings.	Бастапқы файлдар мен сервердегі AI баптауларын тексеріңіз.
Что изменится без этого участника?	What changes without this participant?	Бұл қатысушысыз не өзгереді?
Проверяю копию наблюдаемого графа	Checking a copy of the observed graph	Бақыланған граф көшірмесі тексерілуде
Не удалось выполнить локальную симуляцию. Проверьте исходные данные.	Local simulation failed. Check the source data.	Жергілікті модельдеу орындалмады. Бастапқы деректерді тексеріңіз.
Локальная структурная проверка, без API. Она не доказывает экономический эффект, контроль или прекращение переводов.	Local structural check without API calls. It does not prove economic impact, control or cessation of transfers.	API-сыз жергілікті құрылымдық тексеру. Ол экономикалық әсерді, бақылауды немесе аударымдардың тоқтауын дәлелдемейді.
Модель: {v0} · версия {v1} · исходное время {v2} с · кеш: {v3}	Model: {v0} · version {v1} · original runtime {v2} s · cache: {v3}	Модель: {v0} · нұсқа {v1} · бастапқы уақыт {v2} с · кеш: {v3}
Получение из кеша: {v0} с; новый API-запрос не выполнялся.	Cache retrieval: {v0} s; no new API request was made.	Кештен алу: {v0} с; жаңа API сұрауы жасалған жоқ.
"Токены, сообщённые API: "	"Tokens reported by API: "	"API хабарлаған токендер: "
 (сумма ответов с usage).	 (sum of replies reporting usage).	 (usage бар жауаптардың қосындысы).
Интерпретация AI	AI interpretation	AI түсіндірмесі
Интерпретация модели не является установленным фактом. Схема JSON не гарантирует достоверность текста.	The model's interpretation is not an established fact. JSON validation does not guarantee textual accuracy.	Модель түсіндірмесі анықталған факт емес. JSON тексеруі мәтіннің дұрыстығына кепілдік бермейді.
Подтверждающие наблюдения	Supporting observations	Растайтын бақылаулар
Противоречащие наблюдения	Contradicting observations	Қайшы бақылаулар
Не приведены. Это не означает отсутствия других объяснений.	None provided. Other explanations may still exist.	Келтірілмеген. Бұл басқа түсіндірмелер жоқ дегенді білдірмейді.
[Источник: {v0}](#{v1})	[Source: {v0}](#{v1})	[Дереккөз: {v0}](#{v1})
"Предположение: "	"Assumption: "	"Болжам: "
"Недостающие данные: "	"Missing data: "	"Жетіспейтін деректер: "
"Следующий шаг: "	"Next step: "	"Келесі қадам: "
"Выполненные проверки: "	"Completed checks: "	"Орындалған тексерулер: "
Вычисленные факты и источники	Computed facts and sources	Есептелген фактілер мен дереккөздер
Журнал инструментальных проверок	Tool execution log	Құралдар арқылы тексеру журналы
Ограничения данных	Data limitations	Деректер шектеулері
Скачать AI-записку в Markdown	Download AI report as Markdown	AI есебін Markdown түрінде жүктеу
Скачать реестр доказательств	Download evidence registry	Дәлелдер тізілімін жүктеу
Исходных строк: {v0}. Индексы от нуля в файлах указанной версии. На экране первые 200.	Source rows: {v0}. Zero-based indices in the specified data version. Showing the first 200.	Бастапқы жолдар: {v0}. Көрсетілген нұсқа файлдарында индекстер нөлден басталады. Алғашқы 200 жол көрсетілген.
AI-вывод не сформирован.	AI conclusion not generated.	AI қорытындысы жасалмады.
да	yes	иә
нет	no	жоқ
поддерживается наблюдениями	supported by observations	бақылаулармен расталады
AI выключен. Для подключения задайте AI_ENABLED=true.	AI is disabled. Set AI_ENABLED=true to enable it.	AI өшірілген. Қосу үшін AI_ENABLED=true орнатыңыз.
Добавьте AI_API_KEY в окружение сервера.	Add AI_API_KEY to the server environment.	Сервер ортасына AI_API_KEY қосыңыз.
Укажите AI_MODEL — идентификатор модели вашего провайдера.	Set AI_MODEL to your provider's model identifier.	AI_MODEL мәніне провайдер моделінің идентификаторын орнатыңыз.
Проверьте формат AI_BASE_URL.	Check the AI_BASE_URL format.	AI_BASE_URL пішімін тексеріңіз.
AI_BASE_URL должен быть HTTPS-адресом API без пароля, параметров и фрагмента.	AI_BASE_URL must be an HTTPS API URL without credentials, query parameters or a fragment.	AI_BASE_URL құпиясөзсіз, сұрау параметрлерінсіз және фрагментсіз HTTPS API мекенжайы болуы керек.
Проверьте AI_BASE_URL и AI_MODEL: секрет должен находиться только в AI_API_KEY.	Check AI_BASE_URL and AI_MODEL: secrets belong only in AI_API_KEY.	AI_BASE_URL және AI_MODEL тексеріңіз: құпия кілт тек AI_API_KEY ішінде болуы керек.
Лимиты AI: дедлайн 1–180 секунд, инструменты 3–12, ответ 512–8000 токенов.	AI limits: deadline 1–180 seconds, tools 3–12, response 512–8000 tokens.	AI шектері: мерзім 1–180 секунд, құралдар 3–12, жауап 512–8000 токен.
Проверьте числовые настройки AI_TIMEOUT_SECONDS, AI_MAX_TOOL_CALLS и AI_MAX_OUTPUT_TOKENS.	Check numeric settings AI_TIMEOUT_SECONDS, AI_MAX_TOOL_CALLS and AI_MAX_OUTPUT_TOKENS.	AI_TIMEOUT_SECONDS, AI_MAX_TOOL_CALLS және AI_MAX_OUTPUT_TOKENS сандық баптауларын тексеріңіз.
Собираю вычисленные факты выбранного клиента	Collecting computed facts for this participant	Таңдалған қатысушының есептелген фактілері жиналуда
Найден завершённый проверенный результат в кеше	Found a completed, validated result in cache	Кештен аяқталған, тексерілген нәтиже табылды
Модель формирует гипотезы и выбирает поддержку и контрпроверки	The model is planning hypotheses, supporting checks and counterchecks	Модель болжамдарды, растайтын және қарсы тексерулерді жоспарлауда
Модель сопоставляет подтверждения, противоречия и альтернативы	The model is comparing support, contradictions and alternatives	Модель растауларды, қайшылықтарды және баламаларды салыстыруда
Проверяю ссылки, gid, периоды и точные значения утверждений	Validating references, gids, periods and exact claim values	Сілтемелер, gid, кезеңдер және тұжырымдардың нақты мәндері тексерілуде
Исправляю неверный формат ответа: единственная повторная попытка	Repairing an invalid response: the only retry	Қате жауап пішімі түзетілуде: жалғыз қайталау әрекеті
AI-вывод не прошёл проверку структуры и доказательств. Доступны только вычисленные факты.	AI output failed structural and evidence validation. Only computed facts are available.	AI қорытындысы құрылым мен дәлелдер тексеруінен өтпеді. Тек есептелген фактілер қолжетімді.
Не удалось сформировать AI-вывод. Доступные вычисленные факты сохранены.	Could not generate an AI conclusion. Available computed facts have been preserved.	AI қорытындысын жасау мүмкін болмады. Қолжетімді есептелген фактілер сақталды.
Результат проверен, но не удалось сохранить его в кеш.	Result validated, but could not be cached.	Нәтиже тексерілді, бірақ кешке сақтау мүмкін болмады.
Узлы для проверки	Participants to review	Тексерілетін қатысушылар
Приоритетные узлы	Priority participants	Басымдығы жоғары қатысушылар
Кандидаты для проверки в наблюдаемом графе	Review candidates in the observed graph	Бақыланған графтағы тексеруге үміткерлер
Поиск по ID узла	Search by participant ID	Қатысушы ID бойынша іздеу
Фильтр по роли	Filter by role	Рөл бойынша сүзу
Все роли	All roles	Барлық рөлдер
Таблица приоритетных узлов	Priority participants table	Басымдығы жоғары қатысушылар кестесі
ID УЗЛА	PARTICIPANT ID	ҚАТЫСУШЫ ID
РОЛЬ · ГИПОТЕЗА	ROLE · HYPOTHESIS	РӨЛ · БОЛЖАМ
ВХОДЯЩАЯ СУММА	INCOMING AMOUNT	КІРІС СОМАСЫ
ПРИОРИТЕТ	PRIORITY	БАСЫМДЫҚ
ДЕЙСТВИЕ	ACTION	ӘРЕКЕТ
Сбросить фильтры	Reset filters	Сүзгілерді қалпына келтіру
Предыдущая страница	Previous page	Алдыңғы бет
Следующая страница	Next page	Келесі бет
Приоритет — очерёдность ручной проверки, а не вероятность правонарушения.	Priority is the order of manual review, not the probability of wrongdoing.	Басымдық — қолмен тексеру реті, құқық бұзушылық ықтималдығы емес.
Открыть узел	Open participant	Қатысушыны ашу
Позиция	Rank	Орын
Открыть →	Open →	Ашу →
Узлы не найдены	No participants found	Қатысушылар табылмады
Здесь появятся узлы для проверки	Participants to review will appear here	Тексерілетін қатысушылар осында көрсетіледі
Измените ID или выберите другую роль.	Change the ID or select another role.	ID өзгертіңіз немесе басқа рөлді таңдаңыз.
Подключите исходный набор и результаты расчёта в разделе «Источник данных».	Connect source data and calculation results in “Data source”.	«Дереккөз» бөлімінде бастапқы деректер мен есептеу нәтижелерін қосыңыз.
Нет записей	No records	Жазбалар жоқ
из	 of	ішінен
узлов	nodes	түйін
Все суммы и метрики относятся только к наблюдаемому графу.	All amounts and metrics refer only to the observed graph.	Барлық сомалар мен көрсеткіштер тек бақыланған графқа қатысты.
Даты без времени суток: операции одного дня не доказывают порядок.	Dates have no time of day: same-day operations do not prove sequence.	Күндерде тәулік уақыты жоқ: бір күндегі операциялар реттілікті дәлелдемейді.
Совместимая по датам цепочка не доказывает движение конкретных денег.	A date-compatible chain does not prove the movement of specific funds.	Күндері сәйкес тізбек нақты ақшаның қозғалысын дәлелдемейді.
Входящие seed неполны; отсутствие исходящих на глубине четыре может быть границей выборки.	Incoming seed transfers are incomplete; no outgoing transfers at depth four may reflect the sample boundary.	Бастапқы қатысушылардың кірістері толық емес; төртінші тереңдікте шығыстың болмауы іріктеме шекарасынан болуы мүмкін.
Роль — гипотеза, приоритет — очередность проверки, не вероятность правонарушения.	Role is a hypothesis; priority is review order, not a probability of wrongdoing.	Рөл — болжам, басымдық — тексеру реті, құқық бұзушылық ықтималдығы емес.
Пересекающиеся паттерны нельзя складывать без устранения двойного учёта.	Overlapping patterns cannot be added without removing double counting.	Қайталанатын үлгілерді қосарлы есепті жоймай қосуға болмайды.
Кейс ограничен обходом до четырёх шагов и восьмидесяти узлов, отбор по возрастанию gid; срезы могут быть неполными.	The case is limited to four steps and eighty nodes, selected by ascending gid; subsets may be incomplete.	Іс төрт қадаммен және сексен түйінмен шектеледі, gid өсу ретімен таңдалады; кесінділер толық болмауы мүмкін.
есть противоречия	contradictions found	қайшылықтар бар
недостаточно данных	insufficient data	деректер жеткіліксіз
Истёк общий дедлайн расследования.	Investigation deadline exceeded.	Зерттеу мерзімі аяқталды.
Сетевой процесс не смог получить ответ API.	The network process could not obtain an API response.	Желілік процесс API жауабын ала алмады.
API вернул неверный JSON.	The API returned invalid JSON.	API қате JSON қайтарды.
Достигнут лимит входного контекста AI.	AI input context limit reached.	AI кіріс контекстінің шегіне жетті.
Не удалось выполнить запрос к API.	Could not complete the API request.	API сұрауын орындау мүмкін болмады.
Истёк таймаут запроса к API.	API request timed out.	API сұрауының күту уақыты аяқталды.
Провайдер ограничил частоту запросов; повторы исчерпаны.	Provider rate limit reached; retries exhausted.	Провайдердің сұрау жиілігі шегіне жетті; қайталау әрекеттері аяқталды.
API недоступен или вернул неподдерживаемый ответ. Проверьте модель, ключ и endpoint на сервере.	API unavailable or unsupported response. Check the model, key and endpoint on the server.	API қолжетімсіз немесе жауап қолдау көрсетілмейтін пішімде. Сервердегі модельді, кілтті және endpoint тексеріңіз.
API не вернул текстовый ответ в формате Chat Completions.	The API did not return a Chat Completions text response.	API Chat Completions пішімінде мәтіндік жауап қайтармады.
Ответ AI превышает лимит размера.	AI response exceeds the size limit.	AI жауабы өлшем шегінен асты.
"Ищу противоречия: "	"Looking for contradictions: "	"Қайшылықтарды іздеу: "
"Проверяю гипотезу: "	"Checking hypothesis: "	"Болжамды тексеру: "
Центральность	Centrality	Орталықтық
Объём	Volume	Көлем
Структура	Structure	Құрылым
Несколько seed	Multiple seeds	Бірнеше бастапқы қатысушы
Временное окно	Time window	Уақыт аралығы
Посредничество и SCC	Betweenness and SCC	Делдалдық және SCC
Сила роли	Role strength	Рөл күші
Компонента	Component	Компонент
Вклад в приоритет	Priority contribution	Басымдыққа үлес
Вход в аккаунт	Signed in	Аккаунтқа кірді
Создан аккаунт	Account created	Аккаунт жасалды
Выход из аккаунта	Signed out	Аккаунттан шықты
Выход из всех сессий	All sessions signed out	Барлық сессиядан шықты
Восстановлен доступ	Access restored	Кіру қалпына келтірілді
Изменён пароль	Password changed	Құпиясөз өзгертілді
Открыт узел	Participant opened	Қатысушы ашылды
Разрешаю отправлять выбранные цепочки во внешний AI API по моему нажатию	I allow selected chains to be sent to the external AI API when I click	Мен басқанда таңдалған тізбектерді сыртқы AI API-ға жіберуге рұқсат беремін
Сначала разрешите отправку данных; затем нажмите кнопку расследования.	Allow data submission, then click the investigation button.	Алдымен деректерді жіберуге рұқсат беріңіз, содан кейін зерттеу түймесін басыңыз.
АНАЛИТИКА ДЕНЕЖНЫХ ПОТОКОВ	MONEY FLOW ANALYTICS	АҚША АҒЫНДАРЫН ТАЛДАУ
РАБОЧЕЕ ПРОСТРАНСТВО АНАЛИТИКА	ANALYST WORKSPACE	ТАЛДАУШЫНЫҢ ЖҰМЫС КЕҢІСТІГІ
Весь поток.	The full flow.	Бүкіл ағын.
Ясная картина.	A clear picture.	Айқын көрініс.
◇ &nbsp; Граф переводов	◇ Transfer graph	◇ Аударымдар графы
▤ &nbsp; Личные проверки	▤ Personal reviews	▤ Жеке тексерулер
↗ &nbsp; Проверяемые выводы	↗ Verifiable findings	↗ Тексерілетін қорытындылар
FREEDOM FLOW / ЛИЧНЫЙ КАБИНЕТ	FREEDOM FLOW / YOUR ACCOUNT	FREEDOM FLOW / ЖЕКЕ КАБИНЕТ
Добро пожаловать	Welcome	Қош келдіңіз
Войдите в аккаунт или создайте новое рабочее пространство.	Sign in or create a new workspace.	Аккаунтқа кіріңіз немесе жаңа жұмыс кеңістігін жасаңыз.
От отдельных переводов — к пониманию связей. Исследуйте денежные потоки и сохраняйте выводы в своём рабочем пространстве.	From individual transfers to understanding connections. Explore money flows and save findings in your workspace.	Жеке аударымдардан байланыстарды түсінуге дейін. Ақша ағындарын зерттеп, қорытындыларды жұмыс кеңістігіңізде сақтаңыз.
